Year,Location,TrawlIdentifier,SpeciesCode,Length,Frequency,MaleCount,FemaleCount,UnknownCount
2009,21,3/17/2009021,998,90,1,1,0,0
2009,72,3/18/2009072,998,210,1,1,0,0
2009,62,4/24/2009062,998,220,1,1,0,0
2009,51,4/24/2009051,998,100,1,0,1,0
2009,72,4/24/2009072,998,95,1,0,1,0
2009,72,4/24/2009072,998,120,4,4,0,0
2009,72,4/24/2009072,998,135,1,0,1,0
2009,71,4/24/2009071,998,290,1,0,1,0
2009,41,4/27/2009041,998,120,1,0,1,0
2009,41,4/27/2009041,998,125,1,0,1,0
2009,31,4/27/2009031,998,105,1,1,0,0
2009,21,4/27/2009021,998,95,1,1,0,0
2009,21,4/27/2009021,998,110,2,2,0,0
2009,21,4/27/2009021,998,170,1,0,1,0
2009,21,4/27/2009021,998,195,1,1,0,0
2009,62,5/13/2009062,998,125,2,1,1,0
2009,62,5/13/2009062,998,210,1,1,0,0
2009,62,5/13/2009062,998,240,1,0,1,0
